"","neuron_names","freq_vector","bin_edges","thresh_vals_sn1","modal_classification","skew_value"
"1","20150327_1013_BGUG_HuC_ltRFP_d5_F2","[49, 14, 0, 2, 8, 7, 7, 6]","[5.362260731141939, 26.406802168817755, 47.45134360649357, 68.4958850441694, 89.54042648184522, 110.58496791952103, 131.62950935719684, 152.67405079487264, 173.71859223254847]",57.9736143253315,"S",-1
"2","20150402_1013_BGUG_HuC_ltRFP_d5_F3","[104, 10, 5, 18, 17, 14, 11, 12, 15]","[7.758854692794219, 41.58946687908587, 75.42007906537752, 109.25069125166917, 143.08130343796083, 176.9119156242525, 210.74252781054412, 244.57313999683578, 278.40375218312744, 312.2343643694191]",92.3353851585233,"S",-1
"3","20160512_1013_BGUG_HuC_ltRFP_d6_F6_Neuron2","[19, 41, 32, 36, 45, 35, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5, 4]","[33.67057142387683, 38.28159542679928, 42.89261942972172, 47.50364343264417, 52.114667435566616, 56.725691438489065, 61.33671544141151, 65.94773944433396, 70.55876344725641, 75.16978745017886, 79.78081145310131, 84.39183545602374, 89.00285945894619, 93.61388346186864, 98.22490746479107, 102.83593146771352, 107.44695547063597, 112.05797947355842, 116.66900347648087, 121.28002747940332, 125.89105148232576, 130.5020754852482, 135.11309948817066, 139.7241234910931, 144.33514749401556, 148.946171496938, 153.55719549986046, 158.1682195027829, 162.77924350570532, 167.39026750862777, 172.00129151155022, 176.61231551447267, 181.22333951739512]",68.2532514457952,"S",-1
"4","20160519_1013_BGUG_HuC_ltRFP_d6_F1","[146, 101, 19, 12, 16, 20, 43, 48, 62, 43, 164]","[20.642956361633058, 43.38804877476653, 66.1331411879, 88.87823360103346, 111.62332601416693, 134.3684184273004, 157.11351084043386, 179.85860325356734, 202.60369566670082, 225.3487880798343, 248.09388049296777, 270.8389729061012]",100.2507798076,"S",1
"5","20160519_1013_BGUG_HuC_ltRFP_d6_F6","[43, 30, 22, 22, 84, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 8]","[33.200204250197054, 45.55566144174011, 57.911118633283166, 70.26657582482622, 82.62203301636927, 94.97749020791233, 107.33294739945538, 119.68840459099843, 132.04386178254148, 144.39931897408454, 156.7547761656276, 169.11023335717067, 181.46569054871372, 193.82114774025678, 206.17660493179983, 218.53206212334288, 230.88751931488594, 243.242976506429, 255.59843369797204, 267.9538908895151]",113.510675995227,"S",-1
"6","20160526_1013_BGUG_HuC_ltRFP_d6_F2_Neuron1","[44, 8, 36, 8, 3, 1, 0, 23]","[16.73472404708704, 45.818859942398554, 74.90299583771007, 103.98713173302158, 133.0712676283331, 162.1554035236446, 191.23953941895613, 220.32367531426763, 249.40781120957914]",205.781607366612,"S",-1
"7","20160526_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2","[118, 18, 4, 0, 25, 11, 7, 0, 21]","[4.984706095857011, 46.26949667394635, 87.55428725203568, 128.839077830125, 170.12386840821435, 211.4086589863037, 252.693449564393, 293.9782401424824, 335.2630307205717, 376.547821298661]",149.48147311917,"S",-1
"8","20160526_1013_BGUG_HuC_ltRFP_d6_F4","[10, 12, 5, 19, 23, 47, 15, 9, 10, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 2, 4]","[4.0069810486674, 8.206216867968296, 12.405452687269193, 16.60468850657009, 20.803924325870984, 25.00316014517188, 29.202395964472778, 33.401631783773674, 37.60086760307457, 41.800103422375464, 45.99933924167636, 50.198575060977255, 54.39781088027816, 58.59704669957905, 62.79628251887995, 66.99551833818084, 71.19475415748174, 75.39398997678263, 79.59322579608353, 83.79246161538443, 87.99169743468532, 92.19093325398622, 96.39016907328711, 100.589404892588, 104.78864071188892, 108.98787653118981, 113.18711235049071, 117.3863481697916, 121.5855839890925, 125.7848198083934, 129.9840556276943, 134.18329144699518, 138.38252726629608, 142.58176308559698, 146.78099890489787, 150.98023472419877, 155.17947054349966, 159.37870636280056, 163.57794218210145, 167.77717800140235, 171.97641382070324]",52.2981929706277,"S",-1
"9","20160601_1013_BGUG_HuC_ltRFP_d6_F1","[160, 31, 0, 0, 0, 34, 23, 0, 3, 65]","[11.632336725494634, 37.38100580551763, 63.12967488554063, 88.87834396556363, 114.62701304558664, 140.37568212560964, 166.12435120563262, 191.87302028565563, 217.62168936567863, 243.37035844570164, 269.1190275257246]",76.0040094255521,"S",-1
"10","20160616_1013_BGUG_HuC_ltRFP_d7_F1","[177, 123, 63, 53, 30, 46, 45, 44, 36, 33, 23]","[22.625796101393707, 52.10982543720918, 81.59385477302466, 111.07788410884012, 140.5619134446556, 170.04594278047108, 199.52997211628656, 229.01400145210204, 258.4980307879175, 287.98206012373294, 317.4660894595484, 346.9501187953639]",155.303928112563,"S",-1
"11","20160623_1013_BGUG_HuC_ltRFP_d6_F4","[114, 156, 93, 25, 14, 42, 8, 4, 1, 0, 0, 0, 0, 0, 6, 74, 9, 21]","[18.783391834138566, 34.85158862802285, 50.919785421907136, 66.98798221579143, 83.05617900967572, 99.12437580356, 115.1925725974443, 131.26076939132858, 147.32896618521286, 163.39716297909715, 179.46535977298143, 195.5335565668657, 211.60175336075002, 227.6699501546343, 243.7381469485186, 259.8063437424029, 275.87454053628716, 291.94273733017144, 308.0109341240557]",171.431261376039,"S",-1
"12","20160720_1013_BGUG_HuC_ltRFP_d6_F3","[116, 78, 20, 47, 28, 50, 42, 27, 8, 14]","[8.615191866385349, 35.0830458515109, 61.55089983663646, 88.018753821762, 114.48660780688756, 140.95446179201312, 167.42231577713866, 193.89016976226424, 220.35802374738978, 246.82587773251532, 273.2937317176409]",233.591950739953,"S",-1
"13","20160720_1013_BGUG_HuC_ltRFP_d6_F4","[66, 4, 5, 0, 16, 11, 10, 5, 19]","[21.650865245143844, 63.9850946786423, 106.31932411214075, 148.6535535456392, 190.98778297913765, 233.3220124126361, 275.65624184613455, 317.990471279633, 360.32470071313145, 402.65893014662987]",169.820668262388,"S",-1
"14","20160720_1013_BGUG_HuC_ltRFP_d6_F8_Neuron1","[70, 17, 6, 0, 0, 8, 8, 3, 44]","[13.42631220214816, 38.050143049195555, 62.67397389624294, 87.29780474329033, 111.92163559033773, 136.5454664373851, 161.1692972844325, 185.79312813147988, 210.41695897852728, 235.04078982557468]",99.609720166814,"S",-1
"15","20160726_1013_BGUG_HuC_ltRFP_d6_F1","[23, 35, 50, 36, 24, 35, 7, 1, 0, 0, 0, 0, 8, 0, 0, 0, 2, 11, 3, 11, 8, 2, 3]","[47.45068423908854, 55.389164184731776, 63.327644130375006, 71.26612407601824, 79.20460402166148, 87.1430839673047, 95.08156391294796, 103.02004385859118, 110.95852380423442, 118.89700374987765, 126.83548369552088, 134.77396364116413, 142.71244358680735, 150.6509235324506, 158.58940347809383, 166.52788342373705, 174.4663633693803, 182.40484331502353, 190.34332326066675, 198.28180320631, 206.22028315195323, 214.15876309759648, 222.0972430432397, 230.03572298888292]",114.927763777056,"S",-1
"16","20160726_1013_BGUG_HuC_ltRFP_d6_F2","[104, 26, 11, 0, 0, 18, 0, 0, 68]","[7.465814368378785, 70.21418699136497, 132.96255961435114, 195.71093223733732, 258.4593048603235, 321.2076774833097, 383.9560501062959, 446.7044227292821, 509.45279535226825, 572.2011679752544]",227.08511854883,"S",-1
"17","20160726_1013_BGUG_HuC_ltRFP_d6_F3","[34, 68, 16, 89, 41, 87, 43, 37, 9, 0, 0, 0, 0, 25]","[10.550076296398933, 35.8319956169155, 61.11391493743207, 86.39583425794864, 111.6777535784652, 136.95967289898178, 162.24159221949836, 187.5235115400149, 212.8054308605315, 238.08735018104807, 263.3692695015646, 288.65118882208117, 313.93310814259775, 339.2150274631143, 364.49694678363085]",250.728309841306,"S",-1
"18","20160906_1013_BGUG_HuC_ltRFP_d5_F1","[59, 89, 4, 5, 0, 8, 10, 14, 24]","[14.607653708260473, 40.43194709029947, 66.25624047233846, 92.08053385437745, 117.90482723641644, 143.72912061845543, 169.55341400049443, 195.3777073825334, 221.2020007645724, 247.0262941466114]",130.816973927436,"S",-1
"19","20160906_1013_BGUG_HuC_ltRFP_d5_F2","[7, 38, 34, 68, 48, 22, 9, 1, 15, 1, 4, 0, 0, 0, 0, 1, 10, 3, 1, 0, 0, 7, 0, 0, 1, 5, 3, 2, 2, 0, 0, 0, 3, 7]","[10.478946502995598, 16.502018561777103, 22.525090620558608, 28.548162679340113, 34.57123473812162, 40.594306796903126, 46.61737885568463, 52.64045091446613, 58.66352297324764, 64.68659503202915, 70.70966709081065, 76.73273914959215, 82.75581120837366, 88.77888326715517, 94.80195532593666, 100.82502738471817, 106.84809944349968, 112.87117150228119, 118.8942435610627, 124.91731561984419, 130.9403876786257, 136.96345973740722, 142.9865317961887, 149.0096038549702, 155.03267591375172, 161.05574797253323, 167.07882003131473, 173.10189209009624, 179.12496414887772, 185.14803620765923, 191.17110826644074, 197.19418032522225, 203.21725238400376, 209.24032444278527, 215.26339650156677]",79.7442751789829,"S",-1
"20","20160906_1013_BGUG_HuC_ltRFP_d5_F7","[4, 17, 15, 5, 36, 47, 45, 22, 17, 11, 39]","[22.995505382657033, 29.613466515711465, 36.2314276487659, 42.84938878182034, 49.46734991487477, 56.085311047929196, 62.70327218098363, 69.32123331403807, 75.9391944470925, 82.55715558014694, 89.17511671320136, 95.7930778462558]",46.1583693483475,"S",1
"21","20160907_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2","[147, 83, 43, 16, 12, 15, 7, 17, 48, 13]","[4.089117429174852, 15.906479916715206, 27.72384240425556, 39.541204891795914, 51.358567379336264, 63.175929866876615, 74.99329235441698, 86.81065484195733, 98.62801732949768, 110.44537981703803, 122.2627423045784]",80.9019735981872,"S",-1
"22","20160907_1013_BGUG_HuC_ltRFP_d6_F10_Neuron2","[103, 98, 29, 23, 28, 27, 28, 32, 32, 26]","[29.275674011299067, 51.986928330872075, 74.69818265044509, 97.40943697001808, 120.1206912895911, 142.8319456091641, 165.5431999287371, 188.2544542483101, 210.96570856788313, 233.67696288745614, 256.38821720702913]",108.765064129805,"S",-1
"23","20160908_1013_BGUG_HuC_ltRFP_d7_F2","[133, 39, 0, 10, 32, 0, 0, 0, 13, 0, 0, 28]","[4.287758983671159, 29.79068115913043, 55.293603334589704, 80.79652551004897, 106.29944768550824, 131.80236986096753, 157.30529203642678, 182.80821421188605, 208.31113638734533, 233.8140585628046, 259.3169807382639, 284.8199029137231, 310.3228250891824]",68.0450644223193,"S",-1
"24","20160908_1013_BGUG_HuC_ltRFP_d7_F5","[11, 5, 11, 34, 29, 38, 44, 49, 38, 6, 3, 5, 5, 4, 3, 4]","[24.70940298631225, 32.12219722782131, 39.534991469330365, 46.947785710839426, 54.36057995234849, 61.77337419385755, 69.1861684353666, 76.59896267687566, 84.01175691838472, 91.42455115989378, 98.83734540140284, 106.2501396429119, 113.66293388442097, 121.07572812593003, 128.4885223674391, 135.90131660894815, 143.3141108504572]",102.543742522157,"S",-1
"25","20160912_1013_BGUG_HuC_ltRFP_d6_F3","[39, 140, 50, 3, 18, 50, 6, 0, 0, 26]","[4.637251917932839, 26.862431608994147, 49.08761130005545, 71.31279099111677, 93.53797068217807, 115.76315037323937, 137.9883300643007, 160.213509755362, 182.4386894464233, 204.6638691374846, 226.8890488285459]",171.326099600893,"S",-1
