Node,Community
797442049,0.0
1098776577,1.0
1170866180,7.0
1629880348,6.0
1475477547,0.0
796393522,2.0
1479147574,0.0
1871446097,1.0
1723990099,6.0
1251999828,6.0
1882325087,0.0
1976565858,3.0
1170866275,7.0
1219756158,4.0
390594712,3.0
478937243,2.0
391643292,3.0
7112622236,2.0
542376096,2.0
1229848754,7.0
1007550646,0.0
1653342390,1.0
363724985,5.0
483000509,3.0
1007550653,0.0
1325138112,1.0
363724996,5.0
1325138116,2.0
764412104,2.0
1817444555,0.0
1841037528,1.0
456523994,2.0
549978347,2.0
604242162,4.0
1502347507,6.0
1345061120,4.0
1291845900,4.0
1171915022,6.0
580780309,2.0
1161429278,1.0
1003094304,2.0
363725096,5.0
892600621,1.0
421003580,3.0
1050935614,4.0
1817444670,0.0
1261044051,4.0
326500709,3.0
1009647986,6.0
1103102334,0.0
577503616,3.0
1162871168,4.0
1451229570,0.0
855638407,2.0
1690698128,0.0
363725201,5.0
892600723,1.0
1820721562,3.0
1825440160,3.0
922354084,2.0
363725228,5.0
5813043629,1.0
726663601,4.0
1070465460,4.0
1480982970,1.0
449577409,3.0
1436680646,1.0
1689256407,1.0
481427934,2.0
1229849059,0.0
1229849063,7.0
1229849064,7.0
422052346,2.0
946209279,6.0
1104151060,4.0
389546522,3.0
1622540849,1.0
1728315957,3.0
1040056887,4.0
481034861,6.0
754188911,5.0
883163764,1.0
1136788088,0.0
1604452991,1.0
643039876,2.0
694813336,3.0
481034911,2.0
1382023849,0.0
1281622703,4.0
754188980,5.0
1220412108,1.0
759300826,6.0
1510998750,1.0
847250148,5.0
423101189,2.0
1947468557,0.0
942539535,4.0
1344275238,1.0
358613806,2.0
1876820783,0.0
800588608,2.0
358613830,2.0
1042154310,4.0
549192526,3.0
1346896720,0.0
703857506,2.0
735708012,0.0
1019347828,5.0
737149820,5.0
946209663,6.0
392299403,3.0
1504052107,1.0
329646990,2.0
5813044139,1.0
1685586866,1.0
5813044177,3.0
1018299346,2.0
388629465,3.0
971506655,4.0
694813676,3.0
737149964,5.0
1504052246,1.0
1134167069,4.0
695469100,2.0
1559102509,1.0
819725372,0.0
1100088382,1.0
1847460927,6.0
2000028737,1.0
1198654537,4.0
1343882325,1.0
737150041,5.0
1595409504,6.0
361104490,2.0
1813382259,0.0
916456567,0.0
950928506,6.0
481035392,6.0
1721369735,0.0
1779696775,1.0
2273445006,0.0
1574700181,0.0
5813044385,1.0
542639270,3.0
784204967,5.0
769000618,2.0
1782318275,0.0
823395525,6.0
5813044422,4.0
881329355,3.0
328860895,3.0
895091952,2.0
972555509,7.0
577373434,4.0
1111753990,4.0
542639377,3.0
1535902995,6.0
328860948,3.0
5813044501,1.0
987759904,7.0
829162792,0.0
1719928105,0.0
1352664363,0.0
727713068,1.0
1511654738,1.0
1906836822,0.0
5813044569,1.0
1071121755,4.0
1714816347,6.0
848692583,5.0
5813044594,6.0
5813044597,6.0
1345455479,6.0
479987085,2.0
329254286,3.0
663225743,4.0
328861072,3.0
5813044638,0.0
732431788,2.0
356517307,3.0
5813044670,4.0
877659583,5.0
328861126,3.0
1663436232,1.0
1041761742,4.0
978716112,4.0
1719928274,0.0
294782432,3.0
987104744,1.0
5813044712,4.0
971113967,5.0
881329648,3.0
519046655,4.0
394397189,5.0
611452437,2.0
294782488,3.0
877659673,5.0
945161760,6.0
1541277224,0.0
851314221,3.0
947258925,6.0
489686575,2.0
829163055,0.0
732038716,2.0
1231554116,7.0
1808664135,1.0
1779304011,6.0
5813044812,6.0
330303073,3.0
328861282,3.0
977667682,4.0
1354368623,0.0
736757366,0.0
2006845047,1.0
329254539,3.0
5813044882,0.0
